Letter,English,French,German,Spanish,Portuguese,Esperanto,Italian,Turkish,Swedish,Polish,Dutch,Danish,Icelandic,Finnish,Czech
a,8.167,7.636,6.516,11.525,14.634,12.117,11.745,12.92,9.383,10.503,7.486,6.025,10.11,12.217,8.421
b,1.492,0.901,1.886,2.215,1.043,0.98,0.927,2.844,1.535,1.74,1.584,2,1.043,0.281,0.822
c,2.782,3.26,2.732,4.019,3.882,0.776,4.501,1.463,1.486,3.895,1.242,0.565,0,0.281,0.74
d,4.253,3.669,5.076,5.51,4.992,3.044,3.736,5.206,4.702,3.725,5.933,5.858,1.575,1.043,3.475
e,12.702,14.715,16.396,12.681,11.57,8.995,11.792,9.912,10.149,7.352,17.324,15.453,6.418,7.968,7.562
f,2.228,1.066,1.656,0.692,1.023,1.037,1.153,0.461,2.027,0.143,0.805,2.406,3.013,0.194,0.084
g,2.015,0.866,3.009,1.768,1.303,1.171,1.644,1.253,2.862,1.731,3.403,4.077,4.241,0.392,0.092
h,6.094,0.737,4.577,0.703,0.781,0.384,0.636,1.212,2.09,1.015,2.38,1.621,1.871,1.851,1.356
i,6.966,7.529,6.55,6.247,6.186,10.012,10.143,9.6,5.817,8.328,6.499,6,7.578,10.817,6.073
j,0.153,0.613,0.268,0.443,0.397,3.501,0.011,0.034,0.614,1.836,1.461,0.73,1.144,2.042,1.433
k,0.772,0.049,1.417,0.011,0.015,4.163,0.009,5.683,3.14,2.753,2.248,3.395,3.314,4.973,2.894
l,4.025,5.456,3.437,4.967,2.779,6.145,6.51,5.922,5.275,2.564,3.568,5.229,4.532,5.761,3.802
m,2.406,2.968,2.534,3.157,4.738,2.994,2.512,3.752,3.471,2.515,2.213,3.237,4.041,3.202,2.446
n,6.749,7.095,9.776,6.712,4.046,7.955,6.883,7.987,8.542,6.237,10.032,7.24,7.711,8.826,6.468
o,7.507,5.598,2.594,8.683,9.735,8.779,9.832,2.976,4.482,6.667,6.063,4.636,2.166,5.614,6.695
p,1.929,2.521,0.67,2.51,2.523,2.755,3.056,0.886,1.839,2.445,1.37,1.756,0.789,1.842,1.906
q,0.095,1.362,0.018,0.877,1.204,0,0.505,0,0.02,0,0.009,0.007,0,0.013,0.001
r,5.987,6.693,7.003,6.871,6.53,5.914,6.367,7.722,8.431,5.243,6.411,8.956,8.581,2.872,4.799
s,6.327,7.948,7.273,7.977,6.805,6.092,4.981,3.014,6.59,5.224,5.733,5.805,5.63,7.862,5.212
t,9.056,7.244,6.154,4.632,4.736,5.276,5.623,3.314,7.691,2.475,6.923,6.862,4.953,8.75,5.727
u,2.758,6.311,4.166,2.927,3.634,3.183,3.011,3.235,1.919,2.062,2.192,1.979,4.562,5.008,2.16
v,0.978,1.838,0.846,1.138,1.575,1.904,2.097,0.959,2.415,0.012,1.854,2.332,2.437,2.25,5.344
w,2.36,0.074,1.921,0.017,0.037,0,0.033,0,0.142,5.813,1.821,0.069,0,0.094,0.016
x,0.15,0.427,0.034,0.215,0.253,0,0.003,0,0.159,0.004,0.036,0.028,0.046,0.031,0.027
y,1.974,0.128,0.039,1.008,0.006,0,0.02,3.336,0.708,3.206,0.035,0.698,0.9,1.745,1.043
z,0.074,0.326,1.134,0.517,0.47,0.494,1.181,1.5,0.07,4.852,1.374,0.034,0,0.051,1.503
